name,RA,Dec,TOI,vmag,epoch,epoch_uncertainty,period,period_uncertainty,duration,comments,depth,disposition,priority
"TIC 252636888.01",23:06:04.38,52:47:13.25,1539.01,10.4,2459880.28094,,2.590266,0.0000202,4.378,"TFOP FP/NEB (updated 2022-12-16)",0.70,FP,5
"TIC 318746829.01",23:18:52.47,56:00:30.95,1540.01,10.4,2458769.3971,,5.23121,0.00326,3.826,"TFOP NEB; possible secondary; Gaia parameters suggest star is a giant (updated 2022-12-14)",3.04,FP,5
"TIC 319068154.01",23:20:26.12,55:31:26.8,1541.01,9.7,2458767.31768,,3.79738,0.00089,1.673,"Slight depth-aperture correlation; transit looks asymmetric (updated 2022-12-14)",3.02,FP,5
"TIC 367607434.01",23:15:29.98,46:34:33.68,1542.01,8.4,2458744.44353,,8.2916,0.00371,3.361,"momentum dump according to astronet (updated 2022-12-14)",0.47,FA,5
"TIC 431585347.01",23:50:41.77,50:21:17.86,1543.01,10.1,2458766.20793,,5.13664,0.00317,4.45," (updated 2022-12-14)",0.93,FP,5
"TIC 455791689.01",23:05:23.37,46:54:11.22,1544.01,10.4,2459881.292526,,1.2918411,0.0000026,1.308,"Variable star; possibly synchronized; need stellar radius; centroid offset in spoc-s57 (updated 2023-05-06)",1.17,PC,3
"TIC 127425841.01",00:24:07.35,40:09:56.05,1545.01,9.8,2459880.31948,,1.5166573,0.000007,1.607,"V-shaped; TFOP FP/EB (updated 2022-12-16)",1.59,FP,5
"TIC 194203348.01",00:04:47.24,41:35:37.97,1546.01,9.9,2458764.83324,,1.13345,0.0006,1.894,"Potential level 1; some depth-aperture correlation (updated 2023-08-23)",0.49,PC,2
"TIC 409520860.01",23:41:48.45,37:11:11.64,1547.01,10.4,2458765.11416,,0.71933,0.00023,1.474,"Likely SV; low SNR (updated 2022-12-14)",0.48,FP,5
"TIC 440100539.01",00:17:26.04,42:16:55.93,1548.01,8.7,2458769.32363,,12.6017,0.00585,4.835,"Potential level 1 candidate; could be half the period (updated 2023-06-18)",0.80,FA,5
"TIC 191146556.01",00:33:13.05,46:20:25.1,1549.01,10.4,2459881.330991,,2.5798051,0.0000215,3.413,"slight odd-even; TFOP FP/NEB (updated 2022-12-16)",5.74,FP,5
"TIC 241065596.01",01:26:56.69,49:23:19.15,1550.01,10.3,2458765.12677,,1.62315,0.00008,1.438," (updated 2022-12-14)",2.47,FP,5
"TIC 288348498.01",01:18:48.09,41:30:22,1551.01,10.0,2458765.11138,,1.67546,0.00029,1.202," (updated 2022-12-14)",1.25,PC,3
"TIC 326919774.01",01:31:53.51,46:23:59.37,1552.01,8.2,2458771.77219,,7.57193,0.00278,2.656,"Variable star (updated 2023-01-24)",0.42,FP,5
"TIC 327341626.01",01:38:45.72,42:40:39.86,1553.01,10.3,2459908.543488,,5.9382147,0.0000044,2.293,"TFOP SB1/APC (updated 2023-02-09)",6.51,APC,5
"TIC 299158887.01",19:16:54.31,49:32:53.81,1554.01,11.1,2459444.896746,,9.43415890796681,0.000010601267,2.8505348174715,"Kepler-63 b (updated 2023-03-24)",4.00,KP,5
"TIC 441732151.01",17:11:30.42,72:08:08,1555.01,10.2,2458712.08879,,2.09989,0.00007,0.908,"secondary; synchronized; TFOP FP (updated 2022-12-14)",27.34,FP,5
"TIC 405794804.01",21:38:51.46,65:02:21.02,1556.01,9.8,2458740.21873,,1.44127,0.00002,2.605,"centroid offset; TFOP FP/NEB (updated 2022-12-14)",2.75,FP,5
